drug,drug_id,drug_actif,class_medi,category
valproic acid,D00399,valproate,Gamma-aminobutyric Acid (GABA) Augmenting Agents,Anticonvulsants
divalproex sodium,D00304,valproate,Gamma-aminobutyric Acid (GABA) Augmenting Agents,Anticonvulsants
valproate sodium,D00710,valproate,Gamma-aminobutyric Acid (GABA) Augmenting Agents,Anticonvulsants
calcium valproate,D08667,valproate,Gamma-aminobutyric Acid (GABA) Augmenting Agents,Anticonvulsants
vigabatrin,D00535,vigabatrin,Gamma-aminobutyric Acid (GABA) Augmenting Agents,Anticonvulsants
felbamate,D00536,felbamate,Glutamate Reducing Agents,Anticonvulsants
lamotrigine,D00354,lamotrigine,Glutamate Reducing Agents,Anticonvulsants
perampanel,D08964,perampanel,Glutamate Reducing Agents,Anticonvulsants
perampanel hydrate,D10780,perampanel,Glutamate Reducing Agents,Anticonvulsants
topiramate,D00537,topiramate,Glutamate Reducing Agents,Anticonvulsants
carbamazepine,D00252,carbamazepine,Sodium Channel Agents,Anticonvulsants
eslicarbazepine,D09215,eslicarbazepine,Sodium Channel Agents,Anticonvulsants
eslicarbazepine acetate,D09612,eslicarbazepine,Sodium Channel Agents,Anticonvulsants
ethotoin,D00708,ethotoin,Sodium Channel Agents,Anticonvulsants
fosphenytoin,D07993,fosphenytoin,Sodium Channel Agents,Anticonvulsants
fosphenytoin sodium,D02096,fosphenytoin,Sodium Channel Agents,Anticonvulsants
fosphenytoin sodium hydrate,D07595,fosphenytoin,Sodium Channel Agents,Anticonvulsants
lacosamide,D07299,lacosamide,Sodium Channel Agents,Anticonvulsants
oxcarbazepine,D00533,oxcarbazepine,Sodium Channel Agents,Anticonvulsants
phenytoin,D00512,phenytoin,Sodium Channel Agents,Anticonvulsants
phenytoin sodium,D02103,phenytoin,Sodium Channel Agents,Anticonvulsants
rufinamide,D05775,rufinamide,Sodium Channel Agents,Anticonvulsants
levetiracetam,D00709,levetiracetam,"Anticonvulsants, Other",Anticonvulsants
ezogabine,D09569,ezogabine,"Anticonvulsants, Other",Anticonvulsants
donepezil,D07869,donepezil,Cholinesterase Inhibitors,Antidementia Agents
donepezil hydrochloride,D00670,donepezil,Cholinesterase Inhibitors,Antidementia Agents
galantamine,D04292,galantamine,Cholinesterase Inhibitors,Antidementia Agents
galantamine hydrobromide,D02173,galantamine,Cholinesterase Inhibitors,Antidementia Agents
rivastigmine,D03822,rivastigmine,Cholinesterase Inhibitors,Antidementia Agents
rivastigmine tartrate,D02558,rivastigmine,Cholinesterase Inhibitors,Antidementia Agents
memantine,D08174,memantine,N-methyl-D-aspartate (NMDA) Receptor Antagonist,Antidementia Agents
memantine hydrochloride,D04905,memantine,N-methyl-D-aspartate (NMDA) Receptor Antagonist,Antidementia Agents
ergoloid mesylates,D02268,ergoloid mesylates,"Antidementia Agents, Other",Antidementia Agents
phenelzine,D08349,phenelzine,Monoamine Oxidase Inhibitors,Antidepressants
phenelzine sulfate,D00505,phenelzine,Monoamine Oxidase Inhibitors,Antidepressants
selegiline,D03731,selegiline,Monoamine Oxidase Inhibitors,Antidepressants
selegiline hydrochloride,D00785,selegiline,Monoamine Oxidase Inhibitors,Antidepressants
tranylcypromine,D08625,tranylcypromine,Monoamine Oxidase Inhibitors,Antidepressants
tranylcypromine sulfate,D00826,tranylcypromine,Monoamine Oxidase Inhibitors,Antidepressants
citalopram,D07704,citalopram,SSRIs/SNRIs (Selective Serotonin Reuptake Inhibitors/Serotonin and Norepinephrine Reuptake Inhibitors),Antidepressants
citalopram hydrobromide,D00822,citalopram,SSRIs/SNRIs (Selective Serotonin Reuptake Inhibitors/Serotonin and Norepinephrine Reuptake Inhibitors),Antidepressants
citalopram hydrochloride,D07705,citalopram,SSRIs/SNRIs (Selective Serotonin Reuptake Inhibitors/Serotonin and Norepinephrine Reuptake Inhibitors),Antidepressants
desvenlafaxine,D07793,desvenlafaxine,SSRIs/SNRIs (Selective Serotonin Reuptake Inhibitors/Serotonin and Norepinephrine Reuptake Inhibitors),Antidepressants
desvenlafaxine succinate,D02570,desvenlafaxine,SSRIs/SNRIs (Selective Serotonin Reuptake Inhibitors/Serotonin and Norepinephrine Reuptake Inhibitors),Antidepressants
duloxetine,D07880,duloxetine,SSRIs/SNRIs (Selective Serotonin Reuptake Inhibitors/Serotonin and Norepinephrine Reuptake Inhibitors),Antidepressants
duloxetine hydrochloride,D01179,duloxetine,SSRIs/SNRIs (Selective Serotonin Reuptake Inhibitors/Serotonin and Norepinephrine Reuptake Inhibitors),Antidepressants
escitalopram,D07913,escitalopram,SSRIs/SNRIs (Selective Serotonin Reuptake Inhibitors/Serotonin and Norepinephrine Reuptake Inhibitors),Antidepressants
escitalopram oxalate,D02567,escitalopram,SSRIs/SNRIs (Selective Serotonin Reuptake Inhibitors/Serotonin and Norepinephrine Reuptake Inhibitors),Antidepressants
fluoxetine,D00326,fluoxetine,SSRIs/SNRIs (Selective Serotonin Reuptake Inhibitors/Serotonin and Norepinephrine Reuptake Inhibitors),Antidepressants
fluoxetine hydrochloride,D00823,fluoxetine,SSRIs/SNRIs (Selective Serotonin Reuptake Inhibitors/Serotonin and Norepinephrine Reuptake Inhibitors),Antidepressants
fluvoxamine,D07984,fluvoxamine,SSRIs/SNRIs (Selective Serotonin Reuptake Inhibitors/Serotonin and Norepinephrine Reuptake Inhibitors),Antidepressants
fluvoxamine maleate,D00824,fluvoxamine,SSRIs/SNRIs (Selective Serotonin Reuptake Inhibitors/Serotonin and Norepinephrine Reuptake Inhibitors),Antidepressants
levomilnacipran,D10072,levomilnacipran,SSRIs/SNRIs (Selective Serotonin Reuptake Inhibitors/Serotonin and Norepinephrine Reuptake Inhibitors),Antidepressants
levomilnacipran hydrochloride,D10133,levomilnacipran,SSRIs/SNRIs (Selective Serotonin Reuptake Inhibitors/Serotonin and Norepinephrine Reuptake Inhibitors),Antidepressants
maprotiline,D02566,maprotiline,SSRIs/SNRIs (Selective Serotonin Reuptake Inhibitors/Serotonin and Norepinephrine Reuptake Inhibitors),Antidepressants
maprotiline hydrochloride,D00818,maprotiline,SSRIs/SNRIs (Selective Serotonin Reuptake Inhibitors/Serotonin and Norepinephrine Reuptake Inhibitors),Antidepressants
nefazodone,D08257,nefazodone,SSRIs/SNRIs (Selective Serotonin Reuptake Inhibitors/Serotonin and Norepinephrine Reuptake Inhibitors),Antidepressants
nefazodone hydrochloride,D00819,nefazodone,SSRIs/SNRIs (Selective Serotonin Reuptake Inhibitors/Serotonin and Norepinephrine Reuptake Inhibitors),Antidepressants
paroxetine,D02362,paroxetine,SSRIs/SNRIs (Selective Serotonin Reuptake Inhibitors/Serotonin and Norepinephrine Reuptake Inhibitors),Antidepressants
paroxetine hydrochloride hydrate,D02260,paroxetine,SSRIs/SNRIs (Selective Serotonin Reuptake Inhibitors/Serotonin and Norepinephrine Reuptake Inhibitors),Antidepressants
paroxetine hydrochloride,D05374,paroxetine,SSRIs/SNRIs (Selective Serotonin Reuptake Inhibitors/Serotonin and Norepinephrine Reuptake Inhibitors),Antidepressants
paroxetine mesylate,D05375,paroxetine,SSRIs/SNRIs (Selective Serotonin Reuptake Inhibitors/Serotonin and Norepinephrine Reuptake Inhibitors),Antidepressants
sertraline,D02360,sertraline,SSRIs/SNRIs (Selective Serotonin Reuptake Inhibitors/Serotonin and Norepinephrine Reuptake Inhibitors),Antidepressants
sertraline hydrochloride,D00825,sertraline,SSRIs/SNRIs (Selective Serotonin Reuptake Inhibitors/Serotonin and Norepinephrine Reuptake Inhibitors),Antidepressants
trazodone,D08626,trazodone,SSRIs/SNRIs (Selective Serotonin Reuptake Inhibitors/Serotonin and Norepinephrine Reuptake Inhibitors),Antidepressants
trazodone hydrochloride,D00820,trazodone,SSRIs/SNRIs (Selective Serotonin Reuptake Inhibitors/Serotonin and Norepinephrine Reuptake Inhibitors),Antidepressants
venlafaxine,D08670,venlafaxine,SSRIs/SNRIs (Selective Serotonin Reuptake Inhibitors/Serotonin and Norepinephrine Reuptake Inhibitors),Antidepressants
venlafaxine hydrochloride,D00821,venlafaxine,SSRIs/SNRIs (Selective Serotonin Reuptake Inhibitors/Serotonin and Norepinephrine Reuptake Inhibitors),Antidepressants
vilazodone,D09698,vilazodone,SSRIs/SNRIs (Selective Serotonin Reuptake Inhibitors/Serotonin and Norepinephrine Reuptake Inhibitors),Antidepressants
vilazodone hydrochloride,D09699,vilazodone,SSRIs/SNRIs (Selective Serotonin Reuptake Inhibitors/Serotonin and Norepinephrine Reuptake Inhibitors),Antidepressants
vortioxetine,D10184,vortioxetine,SSRIs/SNRIs (Selective Serotonin Reuptake Inhibitors/Serotonin and Norepinephrine Reuptake Inhibitors),Antidepressants
vortioxetine hydrobromide,D10185,vortioxetine,SSRIs/SNRIs (Selective Serotonin Reuptake Inhibitors/Serotonin and Norepinephrine Reuptake Inhibitors),Antidepressants
amitriptyline,D07448,amitriptyline,Tricyclics,Antidepressants
amitriptyline hydrochloride,D00809,amitriptyline,Tricyclics,Antidepressants
amoxapine,D00228,amoxapine,Tricyclics,Antidepressants
clomipramine,D07727,clomipramine,Tricyclics,Antidepressants
clomipramine hydrochloride,D00811,clomipramine,Tricyclics,Antidepressants
desipramine,D07791,desipramine,Tricyclics,Antidepressants
desipramine hydrochloride,D00812,desipramine,Tricyclics,Antidepressants
doxepin,D07875,doxepin,Tricyclics,Antidepressants
doxepin hydrochloride,D00814,doxepin,Tricyclics,Antidepressants
imipramine,D08070,imipramine,Tricyclics,Antidepressants
imipramine hydrochloride,D00815,imipramine,Tricyclics,Antidepressants
imipramine pamoate,D08071,imipramine,Tricyclics,Antidepressants
nortriptyline,D08288,nortriptyline,Tricyclics,Antidepressants
nortriptyline hydrochloride,D00816,nortriptyline,Tricyclics,Antidepressants
protriptyline,D08447,protriptyline,Tricyclics,Antidepressants
protriptyline hydrochloride,D00484,protriptyline,Tricyclics,Antidepressants
trimipramine,D00394,trimipramine,Tricyclics,Antidepressants
trimipramine maleate,D02408,trimipramine,Tricyclics,Antidepressants
bupropion,D07591,bupropion,"Antidepressants, Other",Antidepressants
bupropion hydrochloride,D00817,bupropion,"Antidepressants, Other",Antidepressants
bupropion hydrobromide,D07938,bupropion,"Antidepressants, Other",Antidepressants
mirtazapine,D00563,mirtazapine,"Antidepressants, Other",Antidepressants
aripiprazole,D01164,aripiprazole,"Antidepressants, Other",Antidepressants
aripiprazole cavoxil,D10355,aripiprazole,"Antidepressants, Other",Antidepressants
aripiprazole lauroxil,D10364,aripiprazole,"Antidepressants, Other",Antidepressants
aripiprazole hydrate,D10516,aripiprazole,"Antidepressants, Other",Antidepressants
quetiapine,D08456,quetiapine,"Antidepressants, Other",Antidepressants
quetiapine fumarate,D00458,quetiapine,"Antidepressants, Other",Antidepressants
dolasetron,D07867,dolasetron,Emetogenic Therapy Adjuncts,Antiemetics
dolasetron mesylate,D00725,dolasetron,Emetogenic Therapy Adjuncts,Antiemetics
granisetron,D04370,granisetron,Emetogenic Therapy Adjuncts,Antiemetics
granisetron hydrochloride,D00677,granisetron,Emetogenic Therapy Adjuncts,Antiemetics
ondansetron,D00456,ondansetron,Emetogenic Therapy Adjuncts,Antiemetics
ondansetron hydrochloride hydrate,D00678,ondansetron,Emetogenic Therapy Adjuncts,Antiemetics
palonosetron,D07175,palonosetron,Emetogenic Therapy Adjuncts,Antiemetics
palonosetron hydrochloride,D05343,palonosetron,Emetogenic Therapy Adjuncts,Antiemetics
aprepitant,D02968,aprepitant,Emetogenic Therapy Adjuncts,Antiemetics
fosaprepitant dimeglumine,D06597,aprepitant,Emetogenic Therapy Adjuncts,Antiemetics
nabilone,D05099,nabilone,Emetogenic Therapy Adjuncts,Antiemetics
dronabinol,D00306,dronabinol,Emetogenic Therapy Adjuncts,Antiemetics
chlorpromazine,D00270,chlorpromazine,"Antiemetics, Other",Antiemetics
chlorpromazine hydrochloride,D00789,chlorpromazine,"Antiemetics, Other",Antiemetics
chlorpromazine hibenzate,D03274,chlorpromazine,"Antiemetics, Other",Antiemetics
chlorpromazine phenolphthalinate,D04034,chlorpromazine,"Antiemetics, Other",Antiemetics
chlorpromazine tannate,D09819,chlorpromazine,"Antiemetics, Other",Antiemetics
diphenhydramine,D00300,diphenhydramine,"Antiemetics, Other",Antiemetics
diphenhydramine hydrochloride,D00669,diphenhydramine,"Antiemetics, Other",Antiemetics
diphenhydramine salicylate,D02419,diphenhydramine,"Antiemetics, Other",Antiemetics
diphenhydramine tannate,D03285,diphenhydramine,"Antiemetics, Other",Antiemetics
diphenhydramine laurylsulfate,D03360,diphenhydramine,"Antiemetics, Other",Antiemetics
diphenhydramine citrate,D03854,diphenhydramine,"Antiemetics, Other",Antiemetics
doxylamine succinate - pyridoxine hydrochloride mixt,D10357,doxylamine succinate/pyridoxine hydrochloride,"Antiemetics, Other",Antiemetics
hydroxyzine,D08054,hydroxyzine,"Antiemetics, Other",Antiemetics
hydroxyzine hydrochloride,D00672,hydroxyzine,"Antiemetics, Other",Antiemetics
hydroxyzine pamoate,D01096,hydroxyzine,"Antiemetics, Other",Antiemetics
meclozine,D08163,meclizine,"Antiemetics, Other",Antiemetics
meclizine hydrochloride,D01317,meclizine,"Antiemetics, Other",Antiemetics
metoclopramide,D00726,metoclopramide,"Antiemetics, Other",Antiemetics
metoclopramide hydrochloride,D02213,metoclopramide,"Antiemetics, Other",Antiemetics
metoclopramide hydrochloride,D05008,metoclopramide,"Antiemetics, Other",Antiemetics
perphenazine,D00503,perphenazine,"Antiemetics, Other",Antiemetics
perphenazine maleate,D02037,perphenazine,"Antiemetics, Other",Antiemetics
perphenazine fendizoate,D04038,perphenazine,"Antiemetics, Other",Antiemetics
perphenazine hydrochloride,D04965,perphenazine,"Antiemetics, Other",Antiemetics
perphenazine decanoate,D08341,perphenazine,"Antiemetics, Other",Antiemetics
perphenazine enantate,D08342,perphenazine,"Antiemetics, Other",Antiemetics
prochlorperazine,D00493,prochlorperazine,"Antiemetics, Other",Antiemetics
prochlorperazine maleate,D00479,prochlorperazine,"Antiemetics, Other",Antiemetics
prochlorperazine mesilate,D02022,prochlorperazine,"Antiemetics, Other",Antiemetics
prochlorperazine edisylate,D02609,prochlorperazine,"Antiemetics, Other",Antiemetics
promethazine,D00494,promethazine,"Antiemetics, Other",Antiemetics
promethazine hydrochloride,D00480,promethazine,"Antiemetics, Other",Antiemetics
promethazine teoclate,D01242,promethazine,"Antiemetics, Other",Antiemetics
promethazine methylenedisalicylate,D03290,promethazine,"Antiemetics, Other",Antiemetics
promethazine maleate,D08432,promethazine,"Antiemetics, Other",Antiemetics
promethazine hibenzate,D08768,promethazine,"Antiemetics, Other",Antiemetics
scopolamine,D00138,scopolamine,"Antiemetics, Other",Antiemetics
scopolamine hydrobromide,D02071,scopolamine,"Antiemetics, Other",Antiemetics
trimethobenzamide,D08643,trimethobenzamide,"Antiemetics, Other",Antiemetics
trimethobenzamide hydrochloride,D02733,trimethobenzamide,"Antiemetics, Other",Antiemetics
celecoxib,D00567,celecoxib,Nonsteroidal Anti-inflammatory Drugs,Anti-inflammatory Agents
diclofenac,D07816,diclofenac,Nonsteroidal Anti-inflammatory Drugs,Anti-inflammatory Agents
diclofenac potassium,D00903,diclofenac,Nonsteroidal Anti-inflammatory Drugs,Anti-inflammatory Agents
diclofenac sodium,D00904,diclofenac,Nonsteroidal Anti-inflammatory Drugs,Anti-inflammatory Agents
diclofenac diethylamine,D07817,diclofenac,Nonsteroidal Anti-inflammatory Drugs,Anti-inflammatory Agents
diclofenac hydroxyethylpyrrolidine,D07818,diclofenac,Nonsteroidal Anti-inflammatory Drugs,Anti-inflammatory Agents
diclofenac calcium,D07819,diclofenac,Nonsteroidal Anti-inflammatory Drugs,Anti-inflammatory Agents
diflunisal,D00130,diflunisal,Nonsteroidal Anti-inflammatory Drugs,Anti-inflammatory Agents
etodolac,D00315,etodolac,Nonsteroidal Anti-inflammatory Drugs,Anti-inflammatory Agents
fenoprofen,D02350,fenoprofen,Nonsteroidal Anti-inflammatory Drugs,Anti-inflammatory Agents
fenoprofen calcium,D00968,fenoprofen,Nonsteroidal Anti-inflammatory Drugs,Anti-inflammatory Agents
flurbiprofen,D00330,flurbiprofen,Nonsteroidal Anti-inflammatory Drugs,Anti-inflammatory Agents
flurbiprofen axetil,D01475,flurbiprofen,Nonsteroidal Anti-inflammatory Drugs,Anti-inflammatory Agents
flurbiprofen sodium,D02290,flurbiprofen,Nonsteroidal Anti-inflammatory Drugs,Anti-inflammatory Agents
esflurbiprofen,D10254,flurbiprofen,Nonsteroidal Anti-inflammatory Drugs,Anti-inflammatory Agents
ibuprofen,D00126,ibuprofen,Nonsteroidal Anti-inflammatory Drugs,Anti-inflammatory Agents
ibuprofen piconol,D01122,ibuprofen,Nonsteroidal Anti-inflammatory Drugs,Anti-inflammatory Agents
ibuprofen aluminum,D04490,ibuprofen,Nonsteroidal Anti-inflammatory Drugs,Anti-inflammatory Agents
ibuprofen lysine,D06606,ibuprofen,Nonsteroidal Anti-inflammatory Drugs,Anti-inflammatory Agents
ibuprofen arginine salt,D08058,ibuprofen,Nonsteroidal Anti-inflammatory Drugs,Anti-inflammatory Agents
ibuprofen sodium,D08059,ibuprofen,Nonsteroidal Anti-inflammatory Drugs,Anti-inflammatory Agents
ibuprofen sodium,D09760,ibuprofen,Nonsteroidal Anti-inflammatory Drugs,Anti-inflammatory Agents
indomethacin,D00141,indomethacin,Nonsteroidal Anti-inflammatory Drugs,Anti-inflammatory Agents
indomethacin sodium,D02110,indomethacin,Nonsteroidal Anti-inflammatory Drugs,Anti-inflammatory Agents
ketoprofen,D00132,ketoprofen,Nonsteroidal Anti-inflammatory Drugs,Anti-inflammatory Agents
ketoprofen lysine,D08102,ketoprofen,Nonsteroidal Anti-inflammatory Drugs,Anti-inflammatory Agents
ketoprofen sodium,D08103,ketoprofen,Nonsteroidal Anti-inflammatory Drugs,Anti-inflammatory Agents
ketorolac,D08104,ketorolac,Nonsteroidal Anti-inflammatory Drugs,Anti-inflammatory Agents
ketorolac tromethamine,D00813,ketorolac,Nonsteroidal Anti-inflammatory Drugs,Anti-inflammatory Agents
meclofenamic acid,D02341,meclofenamate,Nonsteroidal Anti-inflammatory Drugs,Anti-inflammatory Agents
meclofenamate sodium,D00169,meclofenamate,Nonsteroidal Anti-inflammatory Drugs,Anti-inflammatory Agents
meclofenamate sodium,D08162,meclofenamate,Nonsteroidal Anti-inflammatory Drugs,Anti-inflammatory Agents
mefenamic acid,D00151,mefenamic acid,Nonsteroidal Anti-inflammatory Drugs,Anti-inflammatory Agents
meloxicam,D00969,meloxicam,Nonsteroidal Anti-inflammatory Drugs,Anti-inflammatory Agents
nabumetone,D00425,nabumetone,Nonsteroidal Anti-inflammatory Drugs,Anti-inflammatory Agents
naproxen,D00118,naproxen,Nonsteroidal Anti-inflammatory Drugs,Anti-inflammatory Agents
naproxen sodium,D00970,naproxen,Nonsteroidal Anti-inflammatory Drugs,Anti-inflammatory Agents
naproxen etemesil,D10017,naproxen,Nonsteroidal Anti-inflammatory Drugs,Anti-inflammatory Agents
oxaprozin,D00463,oxaprozin,Nonsteroidal Anti-inflammatory Drugs,Anti-inflammatory Agents
piroxicam,D00127,piroxicam,Nonsteroidal Anti-inflammatory Drugs,Anti-inflammatory Agents
piroxicam betadex,D05511,piroxicam,Nonsteroidal Anti-inflammatory Drugs,Anti-inflammatory Agents
piroxicam cinnamate,D05512,piroxicam,Nonsteroidal Anti-inflammatory Drugs,Anti-inflammatory Agents
piroxicam olamine,D05513,piroxicam,Nonsteroidal Anti-inflammatory Drugs,Anti-inflammatory Agents
sulindac,D00120,sulindac,Nonsteroidal Anti-inflammatory Drugs,Anti-inflammatory Agents
tolmetin,D02355,tolmetin,Nonsteroidal Anti-inflammatory Drugs,Anti-inflammatory Agents
tolmetin sodium,D00158,tolmetin,Nonsteroidal Anti-inflammatory Drugs,Anti-inflammatory Agents
dihydroergotamine,D07837,dihydroergotamine,Ergot Alkaloids,Antimigraine Agents
dihydroergotamine mesylate,D02211,dihydroergotamine,Ergot Alkaloids,Antimigraine Agents
dihydroergotamine tartrate,D07838,dihydroergotamine,Ergot Alkaloids,Antimigraine Agents
ergotamine,D07906,ergotamine,Ergot Alkaloids,Antimigraine Agents
ergotamine tartrate,D00679,ergotamine,Ergot Alkaloids,Antimigraine Agents
almotriptan,D02824,almotriptan,Serotonin (5-HT) 1b/1d Receptor Agonists,Antimigraine Agents
almotriptan malate,D02825,almotriptan,Serotonin (5-HT) 1b/1d Receptor Agonists,Antimigraine Agents
eletriptan,D07887,eletriptan,Serotonin (5-HT) 1b/1d Receptor Agonists,Antimigraine Agents
eletriptan hydrobromide,D01973,eletriptan,Serotonin (5-HT) 1b/1d Receptor Agonists,Antimigraine Agents
frovatriptan,D07997,frovatriptan,Serotonin (5-HT) 1b/1d Receptor Agonists,Antimigraine Agents
frovatriptan succinate,D04264,frovatriptan,Serotonin (5-HT) 1b/1d Receptor Agonists,Antimigraine Agents
naratriptan,D08255,naratriptan,Serotonin (5-HT) 1b/1d Receptor Agonists,Antimigraine Agents
naratriptan hydrochloride,D00674,naratriptan,Serotonin (5-HT) 1b/1d Receptor Agonists,Antimigraine Agents
rizatriptan,D08485,rizatriptan,Serotonin (5-HT) 1b/1d Receptor Agonists,Antimigraine Agents
rizatriptan benzoate,D00675,rizatriptan,Serotonin (5-HT) 1b/1d Receptor Agonists,Antimigraine Agents
rizatriptan sulfate,D05740,rizatriptan,Serotonin (5-HT) 1b/1d Receptor Agonists,Antimigraine Agents
sumatriptan,D00451,sumatriptan,Serotonin (5-HT) 1b/1d Receptor Agonists,Antimigraine Agents
sumatriptan succinate,D00676,sumatriptan,Serotonin (5-HT) 1b/1d Receptor Agonists,Antimigraine Agents
zolmitriptan,D00415,zolmitriptan,Serotonin (5-HT) 1b/1d Receptor Agonists,Antimigraine Agents
timolol,D08600,timolol,Prophylactic,Antimigraine Agents
timolol,D00378,timolol,Prophylactic,Antimigraine Agents
timolol maleate,D00603,timolol,Prophylactic,Antimigraine Agents
divalproex sodium,D00304,divalproex,Prophylactic,Antimigraine Agents
topiramate,D00537,topiramate,Prophylactic,Antimigraine Agents
valproic acid,D00399,valproate,Prophylactic,Antimigraine Agents
divalproex sodium,D00304,valproate,Prophylactic,Antimigraine Agents
valproate sodium,D00710,valproate,Prophylactic,Antimigraine Agents
calcium valproate,D08667,valproate,Prophylactic,Antimigraine Agents
ambenonium chloride,D01001,ambenonium,Parasympathomimetics,Antimyasthenic Agents
pyridostigmine bromide,D00487,pyridostigmine,Parasympathomimetics,Antimyasthenic Agents
bedaquiline,D09872,bedaquiline,Antituberculars,Antimycobacterials
bedaquiline fumarate,D09873,bedaquiline,Antituberculars,Antimycobacterials
capreomycin,D07607,capreomycin,Antituberculars,Antimycobacterials
capreomycin sulfate,D00135,capreomycin,Antituberculars,Antimycobacterials
cycloserine,D00877,cycloserine,Antituberculars,Antimycobacterials
ethambutol,D07925,ethambutol,Antituberculars,Antimycobacterials
ethambutol hydrochloride,D00878,ethambutol,Antituberculars,Antimycobacterials
ethionamide,D00591,ethionamide,Antituberculars,Antimycobacterials
isoniazid,D00346,isoniazid,Antituberculars,Antimycobacterials
isoniazid calcium pyruvinate,D01501,isoniazid,Antituberculars,Antimycobacterials
isoniazid sodium methanesulfonate hydrate,D02002,isoniazid,Antituberculars,Antimycobacterials
isoniazid glucuronate sodium,D09773,isoniazid,Antituberculars,Antimycobacterials
pyrazinamide,D00144,pyrazinamide,Antituberculars,Antimycobacterials
rifampin,D00211,rifampin,Antituberculars,Antimycobacterials
rifapentine,D00879,rifapentine,Antituberculars,Antimycobacterials
dapsone,D00592,dapsone,"Antimycobacterials, Other",Antimycobacterials
rifabutin,D00424,rifabutin,"Antimycobacterials, Other",Antimycobacterials
altretamine,D02841,altretamine,Alkylating Agents,Antineoplastics
chlorambucil,D00266,chlorambucil,Alkylating Agents,Antineoplastics
mechlorethamine hydrochloride,D04872,mechlorethamine,Alkylating Agents,Antineoplastics
melphalan,D00369,melphalan,Alkylating Agents,Antineoplastics
melphalan hydrochloride,D08173,melphalan,Alkylating Agents,Antineoplastics
lomustine,D00363,lomustine,Alkylating Agents,Antineoplastics
busulfan,D00248,busulfan,Alkylating Agents,Antineoplastics
cyclophosphamide,D07760,cyclophosphamide,Alkylating Agents,Antineoplastics
cyclophosphamide,D00287,cyclophosphamide,Alkylating Agents,Antineoplastics
procarbazine,D08423,procarbazine,Alkylating Agents,Antineoplastics
procarbazine hydrochloride,D00478,procarbazine,Alkylating Agents,Antineoplastics
enzalutamide,D10218,enzalutamide,Antiandrogens,Antineoplastics
bicalutamide,D00961,bicalutamide,Antiandrogens,Antineoplastics
flutamide,D00586,flutamide,Antiandrogens,Antineoplastics
nilutamide,D00965,nilutamide,Antiandrogens,Antineoplastics
abiraterone acetate,D09701,abiraterone,Antiandrogens,Antineoplastics
lenalidomide,D04687,lenalidomide,Antiangiogenic Agents,Antineoplastics
lenalidomide hydrate,D09813,lenalidomide,Antiangiogenic Agents,Antineoplastics
pomalidomide,D08976,pomalidomide,Antiangiogenic Agents,Antineoplastics
thalidomide,D00754,thalidomide,Antiangiogenic Agents,Antineoplastics
estramustine,D04066,estramustine,Antiestrogens/Modifiers,Antineoplastics
estramustine phosphate sodium,D02398,estramustine,Antiestrogens/Modifiers,Antineoplastics
estramustine phosphate sodium hydrate,D06397,estramustine,Antiestrogens/Modifiers,Antineoplastics
tamoxifen,D08559,tamoxifen,Antiestrogens/Modifiers,Antineoplastics
tamoxifen citrate,D00966,tamoxifen,Antiestrogens/Modifiers,Antineoplastics
toremifene,D08620,toremifene,Antiestrogens/Modifiers,Antineoplastics
toremifene citrate,D00967,toremifene,Antiestrogens/Modifiers,Antineoplastics
mercaptopurine,D04931,mercaptopurine,Antimetabolites,Antineoplastics
mercaptopurine,D00161,mercaptopurine,Antimetabolites,Antineoplastics
tioguanine,D08603,thioguanine,Antimetabolites,Antineoplastics
thioguanine,D06109,thioguanine,Antimetabolites,Antineoplastics
hydroxyurea,D00341,hydroxyurea,Antimetabolites,Antineoplastics
anastrozole,D00960,anastrozole,"Aromatase Inhibitors, 3rd Generation",Antineoplastics
exemestane,D00963,exemestane,"Aromatase Inhibitors, 3rd Generation",Antineoplastics
letrozole,D00964,letrozole,"Aromatase Inhibitors, 3rd Generation",Antineoplastics
etoposide,D00125,etoposide,Enzyme Inhibitors,Antineoplastics
etoposide phosphate,D04107,etoposide,Enzyme Inhibitors,Antineoplastics
topotecan,D08618,topotecan,Enzyme Inhibitors,Antineoplastics
topotecan hydrochloride,D02168,topotecan,Enzyme Inhibitors,Antineoplastics
vemurafenib,D09996,vemurafenib,Molecular Target Inhibitors,Antineoplastics
dabrafenib,D10064,dabrafenib,Molecular Target Inhibitors,Antineoplastics
dabrafenib mesylate,D10104,dabrafenib,Molecular Target Inhibitors,Antineoplastics
trametinib,D10175,trametinib,Molecular Target Inhibitors,Antineoplastics
trametinib dimethyl sulfoxide,D10176,trametinib,Molecular Target Inhibitors,Antineoplastics
ibrutinib,D10223,ibrutinib,Molecular Target Inhibitors,Antineoplastics
afatinib,D09724,afatinib,Molecular Target Inhibitors,Antineoplastics
afatinib dimaleate,D09733,afatinib,Molecular Target Inhibitors,Antineoplastics
erlotinib,D07907,erlotinib,Molecular Target Inhibitors,Antineoplastics
erlotinib hydrochloride,D04023,erlotinib,Molecular Target Inhibitors,Antineoplastics
vismodegib,D09992,vismodegib,Molecular Target Inhibitors,Antineoplastics
ruxolitinib,D09959,ruxolitinib,Molecular Target Inhibitors,Antineoplastics
ruxolitinib phosphate,D09960,ruxolitinib,Molecular Target Inhibitors,Antineoplastics
everolimus,D02714,everolimus,Molecular Target Inhibitors,Antineoplastics
